Group,abx,expgroup,nextDayCFU,Otu001,Otu002,Otu003,Otu004,Otu005,Otu006,Otu007,Otu008,Otu009,Otu011,Otu013,Otu014,Otu015,Otu016,Otu017,Otu018,Otu019,Otu021,Otu024,Other
091-3-D-6,Cefoperazone,1untrCef,0,0.623154,0.036077,0.108077,0.018846,0.046538,0.059462,0.001615,0.002846,0.015154,0.001,0.001615,0.081615,0.010846,0.001615,0.002846,0.001,0.001,0.001,0.001615,0.004079
091-4-D-6,Cefoperazone,1untrCef,0,0.734538,0.021923,0.084077,0.020692,0.015154,0.012077,0.001,0.001,0.021923,0.001,0.008385,0.071154,0.013923,0.002231,0.004077,0.001,0.001,0.001,0.001,0.002846
091-5-D-6,Cefoperazone,1untrCef,0,0.704385,0.020077,0.109308,0.010846,0.032385,0.004692,0.001615,0.003462,0.017615,0.001,0.005308,0.077308,0.013308,0.001615,0.007769,0.001,0.002231,0.001,0.001,0.004076
104-1-D-6,Cefoperazone,1untrCef,0,0.237308,0.114231,0.221923,0.081,0.148692,0.004077,0.002846,0.015769,0.002231,0.001615,0.034231,0.055154,0.002846,0.001,0.015769,0.002231,0.001,0.001,0.001,0.076077
104-2-D-6,Cefoperazone,1untrCef,0,0.340077,0.017,0.317923,0.020077,0.183769,0.002231,0.003462,0.007769,0.002846,0.001,0.021923,0.069308,0.001615,0.001,0.005923,0.001,0.002231,0.001,0.001615,0.018231
105-1-D-6,Cefoperazone,1untrCef,0,0.346231,0.106846,0.242231,0.063769,0.034231,0.001615,0.001615,0.008385,0.002231,0.001,0.030538,0.137,0.006538,0.001,0.005923,0.001,0.002231,0.001,0.001,0.025616
105-2-D-6,Cefoperazone,1untrCef,0,0.402846,0.060077,0.261308,0.045923,0.109308,0.001,0.002846,0.005308,0.004077,0.001,0.004692,0.084077,0.009615,0.001,0.004077,0.001,0.001,0.001,0.001615,0.018231
043-1D-6,Cefoperazone,1untrCef,0,0.583769,0.027462,0.140077,0.033,0.033615,0.009,0.001,0.009,0.006538,0.026846,0.017615,0.065615,0.008385,0.017615,0.002231,0.001,0.001615,0.001615,0.001,0.033002
043-2D-6,Cefoperazone,1untrCef,0,0.675462,0.018231,0.124077,0.025615,0.028077,0.004692,0.001615,0.005308,0.004692,0.031154,0.021308,0.044077,0.005308,0.007769,0.003462,0.001,0.001,0.001,0.001,0.015153
043-3D-6,Cefoperazone,1untrCef,0,0.469308,0.129615,0.127769,0.020077,0.019462,0.002231,0.001,0.004077,0.005923,0.010846,0.024385,0.159154,0.003462,0.006538,0.007154,0.001,0.001,0.001,0.001,0.024999
090-1-D-6,Cefoperazone,1untrCef,0,0.701923,0.012077,0.060692,0.010231,0.067462,0.055769,0.001615,0.001,0.023154,0.002846,0.002231,0.039769,0.009,0.018846,0.002231,0.001,0.001,0.001,0.001,0.007154
090-2-D-6,Cefoperazone,1untrCef,0,0.740692,0.005308,0.059462,0.008385,0.044077,0.007769,0.001615,0.001615,0.027462,0.003462,0.003462,0.041615,0.013308,0.054538,0.001,0.001,0.001,0.001615,0.001,0.001615
090-3-D-6,Cefoperazone,1untrCef,0,0.620692,0.015769,0.070538,0.010846,0.093308,0.015769,0.004077,0.001615,0.033615,0.003462,0.002231,0.060692,0.014538,0.055769,0.001,0.001,0.001615,0.002231,0.001615,0.009618
024-1D0,Cefoperazone,2cef.5,34000000,0.135769,0.079154,0.194846,0.084077,0.069923,0.039154,0.226231,0.025615,0.001615,0.004077,0.002846,0.011462,0.001,0.005923,0.001,0.012077,0.020077,0.022538,0.019462,0.063154
024-3D0,Cefoperazone,2cef.5,78000000,0.140077,0.106846,0.091462,0.084692,0.046538,0.043462,0.247769,0.046538,0.001615,0.004077,0.007769,0.023154,0.019462,0.007769,0.001,0.003462,0.007769,0.027462,0.022538,0.086539
600-3D0,Cefoperazone,2cef.5,2.29E+08,0.166538,0.050846,0.061923,0.042231,0.029308,0.013308,0.183769,0.001,0.001,0.020077,0.001,0.001,0.001615,0.001,0.001,0.085308,0.092692,0.039154,0.068692,0.158539
600-4D0,Cefoperazone,2cef.5,1.17E+08,0.065615,0.015154,0.013923,0.005923,0.515462,0.001615,0.133308,0.001,0.001,0.001615,0.001,0.001,0.001,0.001,0.001,0.037923,0.047769,0.015154,0.060077,0.099462
091-5-D0,Cefoperazone,3cef.3,0,0.564077,0.028692,0.101308,0.023769,0.020692,0.109308,0.004077,0.004692,0.017,0.001,0.001615,0.081,0.004077,0.001,0.004077,0.005308,0.013308,0.004692,0.002231,0.028077
104-1-D0,Cefoperazone,3cef.3,3500000,0.122231,0.124692,0.189308,0.076692,0.078538,0.034846,0.089,0.013923,0.026231,0.020692,0.007769,0.037923,0.002231,0.001615,0.001,0.006538,0.030538,0.009615,0.009615,0.137003
104-2-D0,Cefoperazone,3cef.3,19100000,0.068692,0.065615,0.165923,0.056385,0.293923,0.033,0.086538,0.010846,0.013308,0.019462,0.005308,0.021308,0.002231,0.006538,0.001615,0.010846,0.012077,0.010846,0.012077,0.123462
105-1-D0,Cefoperazone,3cef.3,13200000,0.121615,0.084692,0.172692,0.093923,0.097,0.026846,0.105,0.013308,0.025,0.018846,0.002231,0.028077,0.001,0.009,0.001,0.012692,0.020692,0.010231,0.021308,0.154847
105-2-D0,Cefoperazone,3cef.3,20000000,0.125923,0.104385,0.163462,0.102538,0.093923,0.035462,0.093923,0.007154,0.011462,0.014538,0.004692,0.023769,0.003462,0.001615,0.001,0.004077,0.020692,0.002231,0.010231,0.195461
042-2D0,Cefoperazone,3cef.3,1110000,0.420077,0.036692,0.241,0.015769,0.020692,0.162846,0.001,0.004692,0.012077,0.001615,0.015769,0.076692,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.004079
042-3D0,Cefoperazone,3cef.3,38600000,0.015154,0.005923,0.008385,0.002846,0.935154,0.008385,0.016385,0.001615,0.001,0.001615,0.002846,0.002231,0.002231,0.001615,0.001,0.002231,0.001615,0.001,0.001615,0.007154
042-4D0,Cefoperazone,3cef.3,65600000,0.132692,0.002231,0.002846,0.003462,0.687154,0.063769,0.005308,0.071769,0.004077,0.001,0.012692,0.001615,0.004077,0.001,0.002231,0.001,0.001,0.001615,0.001,0.019462
091-1-D0,Cefoperazone,3cef.3,0,0.705,0.010231,0.018846,0.007769,0.011462,0.135769,0.001615,0.001,0.023769,0.001,0.002231,0.081,0.005308,0.001,0.002231,0.001,0.001,0.001615,0.001,0.007154
091-2-D0,Cefoperazone,3cef.3,0,0.553615,0.019462,0.165923,0.012077,0.028077,0.112385,0.002846,0.002846,0.019462,0.001,0.010846,0.074846,0.004077,0.001,0.004077,0.001,0.001,0.001,0.001,0.003461
091-3-D0,Cefoperazone,3cef.3,0,0.584385,0.025615,0.073615,0.004692,0.047154,0.171462,0.004077,0.002231,0.026231,0.001615,0.014538,0.044692,0.006538,0.001,0.001615,0.001,0.001,0.001,0.001,0.00654
091-4-D0,Cefoperazone,3cef.3,0,0.663154,0.012077,0.084077,0.006538,0.014538,0.113615,0.001,0.002231,0.018846,0.001,0.002846,0.066846,0.010846,0.001615,0.009,0.001,0.001,0.001615,0.002231,0.005925
043-1D0,Cefoperazone,4cef.1,0,0.608385,0.042231,0.124692,0.021923,0.009,0.133923,0.001,0.007154,0.006538,0.001615,0.009615,0.034846,0.002846,0.001615,0.001,0.001,0.001,0.001,0.001,0.009617
043-2D0,Cefoperazone,4cef.1,0,0.348077,0.117308,0.205923,0.060077,0.009615,0.129615,0.001,0.006538,0.004077,0.001,0.017615,0.069308,0.001615,0.001,0.005308,0.001,0.001,0.001,0.001,0.037924
043-3D0,Cefoperazone,4cef.1,300,0.543154,0.064385,0.177615,0.026231,0.024385,0.047154,0.002846,0.005308,0.007154,0.001,0.024385,0.062538,0.002846,0.001,0.012692,0.001,0.001,0.001,0.001,0.013307
090-1-D0,Cefoperazone,4cef.1,0,0.722231,0.008385,0.068692,0.005923,0.028077,0.084692,0.001615,0.001,0.036077,0.001,0.003462,0.038538,0.005308,0.005923,0.001,0.001,0.001,0.001,0.001,0.004077
090-2-D0,Cefoperazone,4cef.1,0,0.551769,0.020077,0.104385,0.005308,0.043462,0.144385,0.001615,0.003462,0.017615,0.001,0.013923,0.053308,0.012077,0.017615,0.005308,0.002231,0.003462,0.002231,0.002231,0.014536
090-3-D0,Cefoperazone,4cef.1,0,0.639769,0.018231,0.097,0.010231,0.021308,0.112385,0.002846,0.001615,0.034846,0.001,0.005923,0.049,0.008385,0.008385,0.001615,0.001,0.001,0.001,0.001,0.003461
047-1D-6,Streptomycin,1untrStrep,0,0.732692,0.035462,0.082231,0.033615,0.036692,0.015154,0.001,0.004077,0.014538,0.001,0.007769,0.028692,0.006538,0.005308,0.001615,0.001,0.001,0.001,0.001,0.009617
047-2D-6,Streptomycin,1untrStrep,0,0.636077,0.010231,0.116077,0.009615,0.025615,0.034846,0.001,0.003462,0.015769,0.048385,0.002846,0.065,0.004692,0.033615,0.001,0.001,0.001615,0.001,0.001,0.007155
047-3D-6,Streptomycin,1untrStrep,0,0.445923,0.079769,0.117923,0.037308,0.047154,0.046538,0.001,0.024385,0.012692,0.065,0.026846,0.066231,0.007769,0.014538,0.001615,0.001,0.001,0.001,0.001,0.021309
627-1D-6,Streptomycin,1untrStrep,0,0.455769,0.146231,0.044077,0.015769,0.125923,0.010231,0.001,0.010846,0.004077,0.001,0.016385,0.105,0.005923,0.001,0.001,0.004692,0.001615,0.001615,0.001615,0.066232
627-2D-6,Streptomycin,1untrStrep,0,0.525923,0.141923,0.026231,0.011462,0.143154,0.004692,0.001615,0.008385,0.002846,0.001615,0.026846,0.070538,0.005923,0.002846,0.001615,0.001615,0.001,0.001615,0.001,0.039156
627-3D-6,Streptomycin,1untrStrep,0,0.269923,0.036692,0.415769,0.009,0.090846,0.017615,0.013308,0.012077,0.004692,0.001,0.017,0.065615,0.001,0.001,0.002231,0.001615,0.001615,0.001,0.004692,0.05331
627-4D-6,Streptomycin,1untrStrep,0,0.409615,0.044692,0.171462,0.010846,0.137,0.004692,0.001615,0.012692,0.004692,0.002846,0.017,0.164077,0.005308,0.001,0.001615,0.001,0.001,0.001615,0.001,0.026233
627-5D-6,Streptomycin,1untrStrep,0,0.367769,0.065,0.335154,0.014538,0.057615,0.004692,0.027462,0.005923,0.007154,0.001,0.009,0.090231,0.001,0.001,0.006538,0.001615,0.001,0.001,0.005923,0.016386
048-1D-6,Streptomycin,1untrStrep,0,0.530231,0.024385,0.243462,0.017,0.069923,0.013923,0.001,0.005308,0.005923,0.033615,0.004077,0.039154,0.010231,0.005923,0.001615,0.001,0.001,0.001,0.001,0.01023
048-2D-6,Streptomycin,1untrStrep,0,0.450846,0.007769,0.165308,0.009615,0.058846,0.023769,0.007154,0.005308,0.019462,0.033615,0.007154,0.041,0.009615,0.004692,0.004692,0.019462,0.029308,0.012692,0.010846,0.098847
048-3D-6,Streptomycin,1untrStrep,0,0.580692,0.009615,0.187462,0.022538,0.061308,0.012077,0.001,0.007769,0.004077,0.045923,0.004077,0.031154,0.012692,0.022538,0.002231,0.001,0.001,0.001,0.001,0.010847
048-4D-6,Streptomycin,1untrStrep,0,0.761,0.002846,0.086538,0.006538,0.026846,0.010231,0.004692,0.003462,0.025,0.050846,0.001,0.012692,0.005308,0.013308,0.002846,0.001,0.001,0.001,0.001615,0.002232
089-2-D-6,Streptomycin,1untrStrep,0,0.495154,0.037923,0.082846,0.010231,0.093308,0.082846,0.002846,0.002231,0.011462,0.004077,0.002846,0.141923,0.017,0.023769,0.003462,0.001,0.001,0.001,0.001,0.004076
089-3-D-6,Streptomycin,1untrStrep,0,0.589308,0.005923,0.180077,0.005308,0.073615,0.063769,0.002231,0.002846,0.018846,0.004692,0.002231,0.038538,0.005308,0.015154,0.001615,0.002231,0.001,0.001615,0.001615,0.004078
089-4-D-6,Streptomycin,1untrStrep,0,0.763462,0.009,0.098846,0.002846,0.042231,0.051462,0.002846,0.001,0.018231,0.001615,0.001615,0.007154,0.004077,0.002846,0.002846,0.002231,0.001,0.001615,0.001,0.004077
089-5-D-6,Streptomycin,1untrStrep,0,0.575154,0.017,0.087154,0.009,0.131462,0.079769,0.001615,0.004077,0.010231,0.001615,0.001615,0.058231,0.014538,0.004692,0.008385,0.001615,0.001,0.001,0.002846,0.009001
046-1D-6,Streptomycin,1untrStrep,0,0.462538,0.060077,0.202231,0.052077,0.039769,0.028077,0.002231,0.007769,0.003462,0.034846,0.013308,0.055769,0.006538,0.030538,0.008385,0.001,0.001,0.001,0.001,0.008385
046-2D-6,Streptomycin,1untrStrep,0,0.359769,0.130231,0.196077,0.071769,0.076692,0.015154,0.001,0.007154,0.002846,0.024385,0.007154,0.078538,0.005308,0.018231,0.004077,0.001,0.001,0.001,0.001,0.017615
046-3D-6,Streptomycin,1untrStrep,0,0.682846,0.034846,0.073,0.027462,0.097,0.018846,0.002231,0.004077,0.005308,0.028077,0.007154,0.004692,0.010846,0.013923,0.001,0.001,0.001,0.001,0.001,0.004692
088-3-D-6,Streptomycin,1untrStrep,0,0.547462,0.036077,0.102538,0.009615,0.061923,0.033,0.005923,0.002846,0.005923,0.089,0.004077,0.097,0.007154,0.004077,0.004692,0.001,0.002231,0.001615,0.001,0.002847
095-1-D-6,Streptomycin,1untrStrep,0,0.559769,0.043462,0.178231,0.021308,0.079769,0.020692,0.002846,0.002846,0.011462,0.002846,0.015154,0.001615,0.002231,0.065615,0.001615,0.001615,0.001,0.001,0.001615,0.005309
095-2-D-6,Streptomycin,1untrStrep,0,0.533923,0.085923,0.148692,0.016385,0.025,0.038538,0.002231,0.006538,0.008385,0.001615,0.021308,0.079769,0.001615,0.028077,0.010846,0.001,0.002846,0.001,0.001,0.005309
095-3-D-6,Streptomycin,1untrStrep,0,0.505615,0.063769,0.180077,0.035462,0.052692,0.007154,0.001,0.005308,0.005308,0.007154,0.015769,0.070538,0.001,0.039769,0.009615,0.001,0.002231,0.001,0.001,0.014539
047-1D0,Streptomycin,2strep5,72000000,0.520385,0.017615,0.001,0.019462,0.002231,0.316077,0.001,0.001,0.122846,0.001,0.001,0.001,0.008385,0.001,0.001,0.001,0.001,0.001,0.001,0.000999
047-2D0,Streptomycin,2strep5,73000000,0.497615,0.034231,0.002231,0.042231,0.001615,0.282231,0.001,0.001,0.131462,0.001,0.001,0.001,0.016385,0.001,0.001,0.001,0.001,0.001,0.001,0.000999
047-3D0,Streptomycin,2strep5,27000000,0.556077,0.007154,0.001,0.028077,0.001,0.210231,0.001,0.001,0.180077,0.001,0.001,0.001,0.024385,0.001,0.001,0.001,0.001,0.001,0.001,0.000999
627-1D0,Streptomycin,2strep5,3.40E+07,0.403462,0.001,0.583154,0.002231,0.007769,0.001,0.001615,0.001,0.001,0.001,0.001,0.001,0.005923,0.001,0.001,0.001,0.001,0.001615,0.001,0.002231
627-2D0,Streptomycin,2strep5,3.46E+07,0.529615,0.001,0.442846,0.001615,0.025,0.001,0.001,0.001,0.001,0.001,0.001,0.001615,0.004692,0.001,0.001,0.001,0.001,0.001,0.001,0.001617
627-3D0,Streptomycin,2strep5,1.01E+08,0.287154,0.002846,0.701923,0.005923,0.005308,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002846,0.001,0.001,0.001,0.001,0.001,0.001,0.001
627-4D0,Streptomycin,2strep5,5.70E+07,0.359769,0.001,0.620077,0.004692,0.017,0.001,0.001615,0.001,0.001,0.001,0.001,0.001,0.002846,0.001,0.001,0.001,0.001,0.001,0.001,0.001001
627-5D0,Streptomycin,2strep5,7.00E+07,0.463769,0.004077,0.511769,0.001615,0.015769,0.001615,0.002846,0.001,0.001,0.001,0.001,0.001,0.005308,0.001,0.001,0.001,0.001,0.001,0.001,0.002232
048-1D0,Streptomycin,3strep.5,1250000,0.357923,0.013923,0.341308,0.028692,0.017615,0.181308,0.001,0.005308,0.055154,0.001,0.001,0.001,0.007154,0.001,0.001,0.001,0.001,0.001,0.001,0.001615
048-2D0,Streptomycin,3strep.5,3400000,0.301923,0.049615,0.290231,0.039154,0.009,0.264385,0.001,0.018231,0.033,0.001,0.001,0.001,0.002846,0.001,0.001,0.001,0.001,0.001,0.001,0.001615
048-3D0,Streptomycin,3strep.5,4040000,0.184385,0.020692,0.529615,0.027462,0.055154,0.125923,0.002231,0.023769,0.025615,0.001,0.001,0.002846,0.002846,0.001,0.001,0.001,0.001,0.001,0.001,0.011462
048-4D0,Streptomycin,3strep.5,5700000,0.317308,0.050231,0.394846,0.093923,0.006538,0.106846,0.001,0.002846,0.029923,0.001,0.001,0.002231,0.002231,0.001,0.001,0.001,0.001,0.001,0.001,0.004077
089-1-D0,Streptomycin,3strep.5,2600000,0.414538,0.012692,0.197308,0.013308,0.039154,0.269308,0.002231,0.001615,0.048385,0.002231,0.001,0.001615,0.007154,0.001,0.001,0.001,0.001,0.001615,0.001615,0.002231
089-2-D0,Streptomycin,3strep.5,1770000,0.364077,0.004077,0.311154,0.010846,0.055769,0.169,0.004077,0.002231,0.073615,0.001615,0.001,0.001615,0.001615,0.002231,0.001,0.001615,0.002231,0.001,0.004077,0.007155
089-3-D0,Streptomycin,3strep.5,4130000,0.350538,0.009615,0.411462,0.018846,0.004692,0.158538,0.001,0.001,0.046538,0.001,0.001,0.001,0.007154,0.001,0.001,0.001,0.001,0.001,0.001,0.001617
089-4-D0,Streptomycin,3strep.5,1250000,0.353615,0.004692,0.419462,0.034846,0.020077,0.122231,0.001,0.001615,0.044692,0.001,0.001,0.002231,0.005923,0.001,0.001,0.001615,0.001,0.001,0.001,0.001001
089-5-D0,Streptomycin,3strep.5,3500000,0.383769,0.002846,0.455769,0.028077,0.005923,0.090231,0.001615,0.001,0.034231,0.001,0.001,0.001615,0.005308,0.001,0.001,0.001,0.001,0.001,0.001,0.001616
046-1D0,Streptomycin,4strep.1,100,0.460077,0.033,0.239154,0.010231,0.008385,0.220692,0.001,0.002231,0.012077,0.001,0.001615,0.010846,0.002846,0.001,0.008385,0.001,0.001,0.001,0.001,0.003461
046-2D0,Streptomycin,4strep.1,100,0.485923,0.010846,0.205923,0.009615,0.038538,0.153,0.001615,0.004692,0.006538,0.001615,0.007154,0.036692,0.005923,0.001,0.031769,0.001615,0.001,0.001,0.001615,0.013927
046-3D0,Streptomycin,4strep.1,4100,0.522231,0.025615,0.146846,0.014538,0.016385,0.191154,0.001,0.002231,0.007769,0.001,0.013308,0.028077,0.001615,0.001,0.041,0.001,0.001,0.001,0.001,0.002231
088-1-D0,Streptomycin,4strep.1,0,0.370846,0.019462,0.036692,0.005308,0.072385,0.459462,0.005923,0.001615,0.004077,0.002231,0.001615,0.017615,0.003462,0.001615,0.004692,0.002231,0.001,0.002846,0.001,0.005923
088-2-D0,Streptomycin,4strep.1,0,0.524077,0.013308,0.212692,0.013308,0.034231,0.135769,0.004692,0.004077,0.005308,0.002231,0.001,0.036077,0.003462,0.001,0.018846,0.001,0.001,0.001,0.001,0.005922
088-3-D0,Streptomycin,4strep.1,0,0.573923,0.004077,0.145,0.007769,0.025,0.197308,0.005923,0.002231,0.021308,0.004077,0.001,0.017615,0.001,0.001,0.002231,0.001,0.001,0.001,0.001615,0.005923
088-4-D0,Streptomycin,4strep.1,2000,0.594231,0.004692,0.186231,0.010231,0.013308,0.127154,0.001,0.005308,0.008385,0.001615,0.001,0.034846,0.002231,0.001615,0.020692,0.001,0.001,0.001615,0.001615,0.002231
095-1-D0,Streptomycin,4strep.1,0,0.496385,0.077923,0.244077,0.037308,0.002231,0.082231,0.001615,0.005923,0.007154,0.002231,0.007769,0.036077,0.001,0.001,0.004077,0.001,0.001,0.001,0.001,0.008999
095-2-D0,Streptomycin,4strep.1,0,0.565923,0.027462,0.196692,0.024385,0.003462,0.090846,0.002231,0.005308,0.012077,0.001,0.002846,0.060692,0.003462,0.001,0.011462,0.001,0.001,0.001,0.001,0.007152
095-3-D0,Streptomycin,4strep.1,0,0.618231,0.029308,0.246538,0.020077,0.002231,0.045923,0.002231,0.002231,0.009615,0.001,0.002231,0.023154,0.002846,0.001,0.002231,0.001,0.001,0.001,0.001,0.007153
007-1D-6,Vancomycin,1untrVanc,0,0.413308,0.054538,0.143154,0.029923,0.171462,0.045923,0.005923,0.031769,0.009615,0.001615,0.009,0.039769,0.008385,0.017615,0.003462,0.004077,0.002231,0.001615,0.001615,0.025001
007-2D-6,Vancomycin,1untrVanc,0,0.350538,0.137615,0.119154,0.058846,0.047154,0.053308,0.001,0.018846,0.004692,0.015769,0.014538,0.093308,0.017,0.010846,0.002846,0.001,0.001,0.001,0.001,0.07054
007-357D-6,Vancomycin,1untrVanc,0,0.607154,0.039769,0.059462,0.048385,0.031154,0.033,0.026846,0.009615,0.004692,0.007769,0.006538,0.060077,0.004077,0.004077,0.012692,0.001,0.001,0.001,0.004692,0.057001
007-358D-6,Vancomycin,1untrVanc,0,0.584385,0.065615,0.102538,0.026846,0.089615,0.009615,0.008385,0.017,0.003462,0.001,0.007154,0.049615,0.001615,0.002846,0.001,0.002231,0.001,0.001,0.002846,0.042232
039-1D-6,Vancomycin,1untrVanc,0,0.483462,0.023154,0.097615,0.029923,0.070538,0.043462,0.001,0.004692,0.005308,0.166538,0.013308,0.023769,0.005923,0.036077,0.001,0.001615,0.001,0.001,0.001,0.009616
039-3D-6,Vancomycin,1untrVanc,0,0.567154,0.009615,0.097615,0.003462,0.057615,0.023769,0.004077,0.001615,0.016385,0.109308,0.005308,0.045308,0.004692,0.062538,0.001615,0.001615,0.001,0.001,0.001615,0.004694
007-2D1,Vancomycin,2vanc.625,99000000,0.002231,0.001615,0.002231,0.001,0.156692,0.559154,0.173923,0.106231,0.001,0.001,0.002846,0.001,0.001,0.001,0.001,0.001,0.001,0.001615,0.001,0.003462
007-357D1,Vancomycin,2vanc.625,25000000,0.001615,0.001,0.001615,0.001,0.110538,0.695154,0.144385,0.048385,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001615,0.004693
007-358D1,Vancomycin,2vanc.625,74000000,0.015154,0.002231,0.022538,0.001615,0.078538,0.439769,0.116692,0.042846,0.001615,0.001,0.001615,0.001,0.001,0.001,0.001,0.037308,0.058846,0.018231,0.013923,0.164079
0071D1,Vancomycin,2vanc.625,83000000,0.001,0.001,0.001,0.001,0.129,0.675462,0.125923,0.072385,0.001,0.001,0.001615,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001615
086-1-D-6,Vancomycin,1untrVanc,0,0.632385,0.049,0.071769,0.017615,0.047154,0.023154,0.007154,0.004692,0.010231,0.001,0.003462,0.073615,0.013923,0.037923,0.004692,0.001,0.002231,0.001,0.001,0.017
086-2-D-6,Vancomycin,1untrVanc,0,0.650846,0.025615,0.103769,0.007769,0.074231,0.016385,0.015769,0.002846,0.012077,0.004692,0.001,0.047769,0.009,0.013308,0.002846,0.002846,0.001615,0.001615,0.001,0.025002
086-3-D-6,Vancomycin,1untrVanc,0,0.656385,0.012692,0.115462,0.011462,0.058846,0.018231,0.007154,0.001,0.012077,0.001615,0.004077,0.068692,0.007154,0.021308,0.006538,0.001615,0.001,0.001,0.001,0.012692
086-4-D-6,Vancomycin,1untrVanc,0,0.639769,0.031154,0.098846,0.017615,0.024385,0.017,0.006538,0.007769,0.020077,0.002846,0.009615,0.108077,0.010231,0.003462,0.007154,0.002231,0.001,0.001,0.001615,0.009616
086-5-D-6,Vancomycin,1untrVanc,0,0.644077,0.034231,0.127769,0.010846,0.035462,0.018846,0.005308,0.004692,0.031154,0.001615,0.004077,0.044077,0.004692,0.031154,0.009615,0.001,0.001,0.001,0.001615,0.00777
740-1D-6,Vancomycin,1untrVanc,0,0.456385,0.012077,0.071769,0.017615,0.100692,0.119154,0.001615,0.019462,0.013923,0.098846,0.019462,0.007154,0.003462,0.021923,0.001615,0.001,0.001,0.001,0.001,0.050846
740-2D-6,Vancomycin,1untrVanc,0,0.493308,0.007769,0.082846,0.012077,0.086538,0.123462,0.001,0.005923,0.020077,0.058846,0.003462,0.018231,0.007769,0.053308,0.001615,0.001615,0.001,0.001,0.001,0.039154
740-3D-6,Vancomycin,1untrVanc,0,0.555462,0.017615,0.092077,0.013923,0.047154,0.029923,0.001615,0.013308,0.015154,0.072385,0.012692,0.026231,0.005308,0.063154,0.002846,0.001,0.001,0.001615,0.001,0.046538
086-1-D0,Vancomycin,3vanc.3,1110000,0.029923,0.008385,0.011462,0.002846,0.087154,0.469308,0.269923,0.082231,0.004077,0.001,0.002231,0.005308,0.001,0.003462,0.005923,0.001,0.002231,0.001,0.001615,0.029921
086-2-D0,Vancomycin,3vanc.3,22700000,0.015154,0.005308,0.010846,0.001,0.084692,0.454538,0.257,0.141308,0.004692,0.001,0.010846,0.002846,0.001,0.001615,0.001615,0.001,0.001,0.001,0.001,0.02254
086-3-D0,Vancomycin,3vanc.3,16900000,0.017,0.001615,0.006538,0.002231,0.088385,0.417,0.274231,0.152385,0.001615,0.001,0.009615,0.003462,0.001,0.001,0.013923,0.001,0.001,0.001,0.001,0.025
